LOGISTA,25.700,0.00,0.00,10.45,25.740,25.660,12301,3412,10:26,10:30,18
MAPFRE,2.260,-0.09,-0.00,16.31,2.270,2.254,446978,6960,10:28,10:30,18
MELIÁ HOTELS,7.385,0.00,0.00,23.91,7.455,7.370,67570,1628,10:27,10:30,18
MERLIN PROP,10.760,-0.09,-0.01,6.96,10.810,10.710,30233,5055,10:22,10:30,18
NATURGY,23.900,0.17,0.04,-9.73,23.980,23.860,50878,23174,10:28,10:30,18
REDEIA,15.860,-0.31,-0.05,8.33,16.030,15.860,129567,8582,10:28,10:30,18
REPSOL,14.380,-0.14,-0.02,10.16,14.485,14.355,295142,17506,10:27,10:30,18
ROVI,81.400,-0.97,-0.80,35.22,82.750,81.400,12986,4397,10:27,10:30,18
SACYR,3.336,0.66,0.02,8.81,3.350,3.324,246640,2321,10:24,10:30,18
SANTANDER,4.562,-0.09,-0.00,23.11,4.600,4.543,3092774,72188,10:29,10:30,18
SOLARIA,10.120,2.58,0.26,-45.62,10.150,9.880,336414,1265,10:29,10:30,18
TELEFÓNICA,4.257,0.64,0.03,20.46,4.275,4.228,2125232,24480,10:29,10:30,18
UNICAJA BANCO,1.277,-0.85,-0.01,49.99,1.297,1.277,2592846,3390,10:29,10:30,18
ACCIONA,113.300,2.07,2.30,-15.00,113.700,111.500,32268,6215,11:31,11:51,18
ACCIONA ENER,20.040,2.14,0.42,-28.63,20.180,19.700,74256,6598,11:34,11:51,18
ACERINOX,10.220,-0.10,-0.01,-1.03,10.280,10.190,95269,2765,11:33,11:51,18
ACS,37.740,-0.16,-0.06,-4.95,38.000,37.640,39543,10253,11:28,11:51,18
AENA,173.200,0.17,0.30,5.55,174.100,172.100,31665,25980,11:33,11:51,18
AMADEUS IT GROUP,60.420,-0.79,-0.48,-6.23,61.140,60.380,82458,27219,11:35,11:51,18
ARCELORMITTAL,24.400,0.25,0.06,-4.93,24.650,24.180,132153,21419,11:34,11:51,18
BANCO SABADELL,1.870,0.51,0.01,71.58,1.884,1.828,21646674,10170,11:35,11:51,18
BANKINTER,7.530,-0.16,-0.01,31.99,7.580,7.512,510449,6768,11:35,11:51,18
BBVA,9.872,0.90,0.09,24.42,9.930,9.728,3419706,57632,11:35,11:51,18
CAIXABANK,4.976,0.83,0.04,45.22,4.985,4.933,2216242,37331,11:35,11:51,18
CELLNEX TELECOM,32.300,1.25,0.40,-9.42,32.400,31.690,382319,21942,11:35,11:51,18
COLONIAL,5.625,0.18,0.01,-14.12,5.640,5.605,180560,3035,11:35,11:51,18
ENAGAS,13.830,0.73,0.10,-9.40,13.860,13.750,99721,3623,11:33,11:51,18
ENDESA,17.230,-0.29,-0.05,-6.66,17.370,17.195,182896,18242,11:33,11:51,18
FERROVIAL,34.280,0.65,0.22,3.82,34.440,34.160,113758,25391,11:33,11:51,18
FLUIDRA,20.080,0.45,0.09,6.53,20.120,19.980,38659,3928,11:27,11:51,18
GRIFOLS,8.936,2.22,0.19,-42.18,8.936,8.718,483101,3808,11:34,11:51,18
IAG,2.096,0.48,0.01,17.69,2.102,2.075,4839262,10420,11:34,11:51,18
IBERDROLA,11.520,-0.48,-0.05,-1.30,11.620,11.505,571985,73996,11:33,11:51,18
INDITEX,42.430,-0.16,-0.07,9.47,42.770,42.360,175335,132240,11:34,11:51,18
INDRA,17.970,-0.39,-0.07,28.36,18.170,17.970,91516,3174,11:33,11:51,18
LOGISTA,25.760,0.23,0.06,10.71,25.840,25.660,25959,3420,11:33,11:51,18
MAPFRE,2.262,0.00,0.00,16.42,2.270,2.254,588372,6966,11:28,11:51,18
MELIÁ HOTELS,7.330,-0.74,-0.06,22.99,7.455,7.315,98633,1616,11:35,11:51,18
MERLIN PROP,10.800,0.28,0.03,7.36,10.810,10.710,46953,5074,11:24,11:51,18
NATURGY,24.000,0.59,0.14,-9.35,24.040,23.860,84686,23271,11:33,11:51,18
REDEIA,15.810,-0.63,-0.10,7.99,16.030,15.810,171935,8554,11:33,11:51,18
REPSOL,14.385,-0.10,-0.01,10.20,14.485,14.345,509196,17512,11:35,11:51,18
ROVI,82.100,-0.12,-0.10,36.38,82.750,81.350,16186,4435,11:31,11:51,18
